prompt_family,episode_id,chunk_index,num_seeds,original_margin_mean,flipped_margin_mean,margin_delta_mean,margin_delta_sd,same_sign_rate
color,2026_08_18_00_50_52_802516_L1_right_C1,0,10,-0.018070104718208312,0.06492319405078888,0.08299329876899719,0.02572942121357298,0.1
color,2026_08_18_00_50_52_802516_L1_right_C1,1,10,0.05023917406797409,-0.015922512114048003,-0.06616168618202209,0.014665435974198353,0.2
color,2026_08_18_00_50_52_802516_L1_right_C1,2,10,0.029730211198329925,0.020398168265819548,-0.009332042932510377,0.006773965464001697,1.0
color,2026_08_18_00_50_52_802516_L1_right_C1,3,10,0.02578791230916977,-0.03380678743124008,-0.05959469974040985,0.007257503555576594,0.0
color,2026_08_18_00_50_52_802516_L1_right_C1,4,10,-0.02367946207523346,-0.0325839102268219,-0.00890444815158844,0.009019330249361593,1.0
color,2026_08_18_00_50_52_802516_L1_right_C1,5,10,-0.06511525213718414,-0.04159289747476578,0.023522354662418365,0.008907772933416333,1.0
color,2026_08_18_00_50_52_802516_L1_right_C1,6,10,-0.052242624759674075,-0.027056269347667694,0.025186355412006377,0.003501834660991833,1.0
color,2026_08_18_00_50_52_802516_L1_right_C1,7,10,-0.031240980327129363,-0.004352496564388275,0.02688848376274109,0.0034911087371071784,0.9
color,2026_08_18_00_51_25_610649_L1_right_C2,0,10,0.04313472807407379,0.03559967279434204,-0.0075350552797317505,0.018706138588540644,1.0
color,2026_08_18_00_51_25_610649_L1_right_C2,1,10,0.0034756138920783997,0.02074817419052124,0.01727256029844284,0.022415950824125744,0.6
color,2026_08_18_00_51_25_610649_L1_right_C2,2,10,0.020298559963703156,-0.017897985875606537,-0.03819654583930969,0.012547512759061982,0.0
color,2026_08_18_00_51_25_610649_L1_right_C2,3,10,0.010261954367160797,-0.022044682502746583,-0.03230663686990738,0.007117543399540422,0.2
color,2026_08_18_00_51_25_610649_L1_right_C2,4,10,0.0346219003200531,-0.003547076880931854,-0.03816897720098496,0.00867000146253972,0.2
color,2026_08_18_00_51_25_610649_L1_right_C2,5,10,-0.017596356570720673,-0.011951997876167297,0.005644358694553375,0.005448953792733819,1.0
color,2026_08_18_00_51_25_610649_L1_right_C2,6,10,-0.06464621275663376,-0.026635940372943877,0.03801027238368988,0.008542785367941052,1.0
color,2026_08_18_00_51_25_610649_L1_right_C2,7,10,-0.05860138833522797,-0.04332002401351929,0.01528136432170868,0.008027208858036153,1.0
color,2026_08_18_00_51_25_610649_L1_right_C2,8,10,-0.10205231010913848,-0.04630846381187439,0.0557438462972641,0.009613329342045509,1.0
color,2026_08_18_00_51_25_610649_L1_right_C2,9,10,-0.01710696816444397,-0.013850533962249756,0.003256434202194214,0.0035116664608903694,1.0
color,2026_08_18_00_52_54_907596_L3_right_C0,0,10,0.05562045872211456,0.04448005110025406,-0.011140407621860504,0.03428963323957415,1.0
color,2026_08_18_00_52_54_907596_L3_right_C0,1,10,0.019140861928462982,0.0014034271240234374,-0.017737434804439546,0.013185551041642079,0.6
color,2026_08_18_00_52_54_907596_L3_right_C0,2,10,0.017868825793266298,-0.06414881348609924,-0.08201763927936553,0.011533667977587885,0.0
