run,temperature,split,condition,episode_id,target_side,final_correct,raw_sign_early_auc,probability_early_auc,final_true_belief,final_cumulative_margin,prefix_nll
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:12:36_2026,right,1,0.9600000000000001,0.5285712558088842,0.5538754816273375,0.06490253905455272,0.6273721895420987
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:13:10_2026,right,0,0.04938271604938271,0.48030730321608434,0.4609810284171393,-0.04691816369692485,0.742739073448962
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:13:30_2026,left,1,0.943661971830986,0.5367853467522704,0.5593769641210667,0.07159016529719035,0.6077510299974509
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:15:02_2026,right,1,0.34177215189873417,0.4956026438034963,0.527574482583852,0.03312298655509949,0.6965771157058025
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:15:26_2026,left,1,0.9500000000000001,0.5468781915348874,0.5962775606363371,0.11699359615643819,0.587320775256557
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:15:54_2026,right,0,0.05714285714285714,0.42801025658501507,0.36645246675585813,-0.16423986355463663,0.9017633065721178
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:16:22_2026,left,1,0.7101449275362318,0.5181409378125492,0.5462593091251485,0.05567037562529246,0.6430882158255157
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:16:48_2026,right,0,0.06153846153846154,0.4425695560087993,0.4057217019690288,-0.11450407902399698,0.8531453882207491
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:17:13_2026,left,1,0.9215686274509804,0.52059889533667,0.5690600650121869,0.08340518176555635,0.6211375794409777
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:17:36_2026,right,0,0.0625,0.4619316265795644,0.4547346331991871,-0.05446756879488627,0.7849002431191727
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:17:54_2026,left,1,0.9518072289156626,0.5195787510009863,0.5173368026063411,0.02081250647703806,0.6532148531184996
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:18:14_2026,left,1,0.9518072289156626,0.5194385252280606,0.5454799212207379,0.054727171858151756,0.6428696560197845
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:18:37_2026,right,0,0.25,0.44780710119519285,0.4168183141394343,-0.10075450440247855,0.8257573694355393
pi05_droid_h16,0.3,train,train_natural,Sun_Aug__9_19:18:58_2026,right,0,0.05333333333333334,0.4807852630890056,0.48913728532175976,-0.013037309050559996,0.7335373337719824
