condition,target,init_state_index,repeat_index,success,policy_steps,policy_queries,eef_path_length_m,action_total_variation_l2,first_guidance_scale,mean_post_first_guidance_scale,max_post_first_guidance_scale,belief_negative_after_first_chunk,initial_observation_sha256,metadata_path
base,cabinet,41,1,True,83,17,0.8406531427232729,10.72710013872419,0.0,0.0,0.0,nan,edd6d06d90f10ef8e0b62dbcff76dc6a4ce864589ac6aae93cefb2d121581ccd,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init41_repeat1_success.json
base,cabinet,42,0,True,84,17,0.8824604443793538,11.15634740752669,0.0,0.0,0.0,nan,f74b8a3a12f0050082ddb338e8dba356c64dab1568df68a4244be0f6b9c7d80f,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init42_repeat0_success.json
base,cabinet,42,1,True,84,17,0.8794244440676477,11.051227527328598,0.0,0.0,0.0,nan,f74b8a3a12f0050082ddb338e8dba356c64dab1568df68a4244be0f6b9c7d80f,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init42_repeat1_success.json
base,cabinet,43,0,True,82,17,0.8148890142349146,10.317420326609268,0.0,0.0,0.0,nan,020ac5a1be49c80a8c8b309386b59eb6166c069aba2ef11217e990b03f1fd91d,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init43_repeat0_success.json
base,cabinet,43,1,True,78,16,0.7608861594575085,10.517306621525108,0.0,0.0,0.0,nan,020ac5a1be49c80a8c8b309386b59eb6166c069aba2ef11217e990b03f1fd91d,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init43_repeat1_success.json
base,cabinet,44,0,True,81,17,0.82662336522004,10.199363338005641,0.0,0.0,0.0,nan,4d10ceaa18c70ad0d99146527023cb48672d04c87d7a110e1207f14f99b9ed81,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init44_repeat0_success.json
base,cabinet,44,1,True,80,16,0.7979351760320943,10.61668275118157,0.0,0.0,0.0,nan,4d10ceaa18c70ad0d99146527023cb48672d04c87d7a110e1207f14f99b9ed81,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init44_repeat1_success.json
base,cabinet,45,0,True,87,18,0.8888618412194562,11.23228483156419,0.0,0.0,0.0,nan,863dbb9318777a1f5abd0107bd1fd2131403e996a836949a900a6daeb3ee88d4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init45_repeat0_success.json
base,cabinet,45,1,True,84,17,0.8488944501196066,10.616813370688913,0.0,0.0,0.0,nan,863dbb9318777a1f5abd0107bd1fd2131403e996a836949a900a6daeb3ee88d4,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init45_repeat1_success.json
base,cabinet,46,0,True,81,17,0.8437296688943883,10.496213539983785,0.0,0.0,0.0,nan,381a1965c57a0f37a00c739f4ceb99ec40d8e0e73716d8a227134b2ca8e6d462,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init46_repeat0_success.json
base,cabinet,46,1,True,85,17,0.8785209674163234,10.482665368786524,0.0,0.0,0.0,nan,381a1965c57a0f37a00c739f4ceb99ec40d8e0e73716d8a227134b2ca8e6d462,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init46_repeat1_success.json
base,cabinet,47,0,True,86,18,0.8556030088352773,10.1292285572359,0.0,0.0,0.0,nan,bb1226460e01343913836b28c9b815429fd61222acb8ff8bb130841f721786fd,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init47_repeat0_success.json
base,cabinet,47,1,True,88,18,0.8854303169841475,10.425825903904592,0.0,0.0,0.0,nan,bb1226460e01343913836b28c9b815429fd61222acb8ff8bb130841f721786fd,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init47_repeat1_success.json
base,cabinet,48,0,True,90,18,0.8834855567017418,15.059752532483346,0.0,0.0,0.0,nan,18d3cff932758062f0e5fa19ce2103e943f08c0ed4952964e4ef48ae095b3a9e,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init48_repeat0_success.json
base,cabinet,48,1,True,82,17,0.8317645665369645,10.272794052227312,0.0,0.0,0.0,nan,18d3cff932758062f0e5fa19ce2103e943f08c0ed4952964e4ef48ae095b3a9e,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init48_repeat1_success.json
base,cabinet,49,0,True,89,18,0.924843244920235,10.92352336461066,0.0,0.0,0.0,nan,ce71b0cf7cd5719991794bc42ddc6bb5f9f21d17404c865970188525831b8f3f,artifacts/goal_bowl_destination_steering_formal_t1_lambda2_combined/goal_bowl_destination_base_cabinet_init49_repeat0_success.json
