episode_id,target_side_base,target_side_exterior_camera,chunk_index,progress_pregrasp,seed,visual_condition,energy_left,energy_right,margin_left_minus_right
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,8,exterior_hflip,0.3526427447795868,0.4227619767189026,-0.0701192319393158
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,8,wrist_hflip,0.3418118953704834,0.36045756936073303,-0.018645673990249634
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,8,both_hflip,0.3155248463153839,0.4130001664161682,-0.0974753201007843
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,9,original,0.40603405237197876,0.4167214334011078,-0.010687381029129028
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,9,exterior_hflip,0.356638103723526,0.435946524143219,-0.079308420419693
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,9,wrist_hflip,0.35002851486206055,0.35675737261772156,-0.006728857755661011
2026_08_17_02_29_03_938361_L1_left_C2,left,right,3,0.41025641025641024,9,both_hflip,0.32850193977355957,0.41705322265625,-0.08855128288269043
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,0,original,0.4410156011581421,0.4193893074989319,0.021626293659210205
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,0,exterior_hflip,0.4321362376213074,0.422030508518219,0.010105729103088379
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,0,wrist_hflip,0.40942054986953735,0.4461110234260559,-0.036690473556518555
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,0,both_hflip,0.40710771083831787,0.44383013248443604,-0.036722421646118164
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,1,original,0.31394845247268677,0.28740382194519043,0.026544630527496338
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,1,exterior_hflip,0.3183315396308899,0.31668156385421753,0.0016499757766723633
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,1,wrist_hflip,0.25496673583984375,0.27671578526496887,-0.021749049425125122
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,1,both_hflip,0.2672755718231201,0.31293290853500366,-0.045657336711883545
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,2,original,0.34893786907196045,0.3230428695678711,0.025894999504089355
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,2,exterior_hflip,0.35351574420928955,0.327663391828537,0.025852352380752563
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,2,wrist_hflip,0.3214605152606964,0.3428444266319275,-0.02138391137123108
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,2,both_hflip,0.3242999315261841,0.34491896629333496,-0.02061903476715088
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,3,original,0.3452731966972351,0.31000807881355286,0.03526511788368225
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,3,exterior_hflip,0.3271752595901489,0.30872294306755066,0.018452316522598267
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,3,wrist_hflip,0.2976866364479065,0.32117319107055664,-0.023486554622650146
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,3,both_hflip,0.29057392477989197,0.30831778049468994,-0.017743855714797974
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,4,original,0.4571654796600342,0.4053556025028229,0.051809877157211304
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,4,exterior_hflip,0.45626434683799744,0.4325069189071655,0.02375742793083191
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,4,wrist_hflip,0.3889566957950592,0.3949139416217804,-0.005957245826721191
2026_08_17_02_29_03_938361_L1_left_C2,left,right,4,0.5128205128205128,4,both_hflip,0.39366841316223145,0.42435216903686523,-0.03068375587463379
