decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
10pct,layout_x_blue_side,L1/right,6,0.5,0.5333333333333333,0.6666666666666666,0.6666666666666666,-0.0020796790222326923
10pct,layout_x_blue_side,L3/left,6,0.3333333333333333,0.3666666666666667,0.16666666666666666,0.8333333333333334,0.044361707251518966
10pct,layout_x_blue_side,L3/right,6,0.3333333333333333,0.3666666666666667,0.16666666666666666,0.16666666666666666,0.018317495354761678
10pct,condition_x_side,C0/left,4,0.0,0.25,0.5,1.0,0.026095712296664717
10pct,condition_x_side,C0/right,4,0.5,0.575,0.5,0.5,0.004772593411616979
10pct,condition_x_side,C1/left,4,0.25,0.3,0.25,0.75,0.029853418357670306
10pct,condition_x_side,C1/right,4,0.75,0.625,0.25,0.75,0.009320315681397916
10pct,condition_x_side,C2/left,4,0.5,0.25,0.0,0.5,0.017148109197150915
10pct,condition_x_side,C2/right,4,0.5,0.5,0.0,0.5,0.033651210952084516
10pct,condition_x_target_color,C0/blue,4,0.25,0.25,0.25,0.75,0.03257107045967132
10pct,condition_x_target_color,C0/red,4,0.25,0.575,0.75,0.75,-0.0017027647513896229
10pct,condition_x_target_color,C1/blue,4,0.25,0.25,0.25,0.75,0.02905004220083356
10pct,condition_x_target_color,C1/red,4,0.75,0.675,0.25,0.75,0.010123691838234663
10pct,condition_x_target_color,C2/blue,4,0.0,0.05,0.0,0.5,0.029815969734918325
10pct,condition_x_target_color,C2/red,4,1.0,0.7,0.0,0.5,0.0209833504143171
20pct,overall,all,24,0.375,0.3625,0.20833333333333334,0.7083333333333334,0.03627350942154104
20pct,target_color,blue,12,0.08333333333333333,0.10833333333333334,0.08333333333333333,0.5833333333333334,0.06444192275870592
20pct,target_color,red,12,0.6666666666666666,0.6166666666666667,0.3333333333333333,0.8333333333333334,0.008105096084376177
20pct,target_side,left,12,0.16666666666666666,0.2166666666666667,0.3333333333333333,0.8333333333333334,0.04324887885556867
20pct,target_side,right,12,0.5833333333333334,0.5083333333333333,0.08333333333333333,0.5833333333333334,0.02929813998751343
20pct,layout,L1,12,0.4166666666666667,0.45,0.25,0.75,0.021166180266688272
20pct,layout,L3,12,0.3333333333333333,0.27499999999999997,0.16666666666666666,0.6666666666666666,0.05138083857639383
20pct,blue_side,left,12,0.5,0.39999999999999997,0.0,1.0,0.05833463646937162
20pct,blue_side,right,12,0.25,0.32499999999999996,0.4166666666666667,0.4166666666666667,0.014212382373710473
20pct,condition,C0,8,0.5,0.4625,0.25,0.75,0.03395987902535126
20pct,condition,C1,8,0.375,0.36250000000000004,0.125,0.625,0.0373543313331902
20pct,condition,C2,8,0.25,0.26249999999999996,0.25,0.75,0.03750631790608168
20pct,target_color_x_side,blue/left,6,0.0,0.0,0.0,1.0,0.09347841924056412
20pct,target_color_x_side,blue/right,6,0.16666666666666666,0.21666666666666667,0.16666666666666666,0.16666666666666666,0.03540542627684772
20pct,target_color_x_side,red/left,6,0.3333333333333333,0.4333333333333334,0.6666666666666666,0.6666666666666666,-0.006980661529426775
20pct,target_color_x_side,red/right,6,1.0,0.7999999999999999,0.0,1.0,0.023190853698179123
20pct,layout_x_side,L1/left,6,0.16666666666666666,0.21666666666666667,0.3333333333333333,0.8333333333333334,0.02166892138620218
20pct,layout_x_side,L1/right,6,0.6666666666666666,0.6833333333333332,0.16666666666666666,0.6666666666666666,0.020663439147174358
20pct,layout_x_side,L3/left,6,0.16666666666666666,0.21666666666666667,0.3333333333333333,0.8333333333333334,0.06482883632493516
20pct,layout_x_side,L3/right,6,0.5,0.3333333333333333,0.0,0.5,0.03793284082785248
20pct,layout_x_blue_side,L1/left,6,0.5,0.4666666666666666,0.0,1.0,0.03913914387424788
20pct,layout_x_blue_side,L1/right,6,0.3333333333333333,0.4333333333333333,0.5,0.5,0.003193216659128667
20pct,layout_x_blue_side,L3/left,6,0.5,0.3333333333333333,0.0,1.0,0.07753012906449537
20pct,layout_x_blue_side,L3/right,6,0.16666666666666666,0.21666666666666667,0.3333333333333333,0.3333333333333333,0.02523154808829228
20pct,condition_x_side,C0/left,4,0.25,0.275,0.25,0.75,0.0519619363360107
20pct,condition_x_side,C0/right,4,0.75,0.65,0.25,0.75,0.015957821714691817
20pct,condition_x_side,C1/left,4,0.25,0.275,0.25,0.75,0.04716911610215903
20pct,condition_x_side,C1/right,4,0.5,0.45,0.0,0.5,0.027539546564221383
20pct,condition_x_side,C2/left,4,0.0,0.1,0.5,1.0,0.030615584128536287
20pct,condition_x_side,C2/right,4,0.5,0.425,0.0,0.5,0.044397051683627065
20pct,condition_x_target_color,C0/blue,4,0.25,0.25,0.25,0.75,0.062120716529898354
20pct,condition_x_target_color,C0/red,4,0.75,0.675,0.25,0.75,0.0057990415208041685
20pct,condition_x_target_color,C1/blue,4,0.0,0.075,0.0,0.5,0.06188293328508736
20pct,condition_x_target_color,C1/red,4,0.75,0.65,0.25,0.75,0.012825729381293059
20pct,condition_x_target_color,C2/blue,4,0.0,0.0,0.0,0.5,0.06932211846113205
20pct,condition_x_target_color,C2/red,4,0.5,0.5249999999999999,0.5,1.0,0.005690517351031302
30pct,overall,all,24,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.7083333333333334,0.05120407661578308
30pct,target_color,blue,12,0.0,0.03333333333333333,0.0,0.5,0.09457545713211098
30pct,target_color,red,12,0.5833333333333334,0.55,0.4166666666666667,0.9166666666666666,0.00783269609945516
30pct,target_side,left,12,0.08333333333333333,0.15833333333333333,0.4166666666666667,0.9166666666666666,0.0601502444781363
30pct,target_side,right,12,0.5,0.42500000000000004,0.0,0.5,0.04225790875342985
