decision,grouping,level,num_trajectories,accuracy,camera_frame_accuracy,seed_pooled_accuracy,predicted_left_rate,mean_score_left_minus_right
flat,target_color_x_side,red/right,6,0.0,1.0,0.03333333333333333,1.0,-0.01471718188340741
flat,layout_x_side,L1/left,6,1.0,0.0,0.9166666666666666,1.0,-0.022584053874015807
flat,layout_x_side,L1/right,6,0.0,1.0,0.0,1.0,-0.019950222373008725
flat,layout_x_side,L3/left,6,1.0,0.0,1.0,1.0,-0.026261205251708077
flat,layout_x_side,L3/right,6,0.0,1.0,0.03333333333333333,1.0,-0.017587940519399662
flat,condition_x_side,C0/left,4,1.0,0.0,1.0,1.0,-0.043283721292391414
flat,condition_x_side,C0/right,4,0.0,1.0,0.05,1.0,-0.015810413123108446
flat,condition_x_side,C1/left,4,1.0,0.0,1.0,1.0,-0.018591791681117478
flat,condition_x_side,C1/right,4,0.0,1.0,0.0,1.0,-0.018322768859151337
flat,condition_x_side,C2/left,4,1.0,0.0,0.875,1.0,-0.011392375715076924
flat,condition_x_side,C2/right,4,0.0,1.0,0.0,1.0,-0.022174062356352803
flat,condition_x_target_color,C0/blue,4,0.5,0.5,0.5,1.0,-0.03232226455584168
flat,condition_x_target_color,C0/red,4,0.5,0.5,0.55,1.0,-0.026771869859658178
flat,condition_x_target_color,C1/blue,4,0.5,0.5,0.5,1.0,-0.018705463673298554
flat,condition_x_target_color,C1/red,4,0.5,0.5,0.5,1.0,-0.01820909686697026
flat,condition_x_target_color,C2/blue,4,0.5,0.5,0.375,1.0,-0.01705160956829786
flat,condition_x_target_color,C2/red,4,0.5,0.5,0.5,1.0,-0.016514828503131868
linear,overall,all,24,0.5,0.5,0.5125000000000001,1.0,-0.029095610383716147
linear,target_color,blue,12,0.5,0.5,0.5083333333333333,1.0,-0.0297183227397953
linear,target_color,red,12,0.5,0.5,0.5166666666666667,1.0,-0.02847289802763699
linear,target_side,left,12,1.0,0.0,1.0,1.0,-0.03747624528572365
linear,target_side,right,12,0.0,1.0,0.025000000000000005,1.0,-0.020714975481708645
linear,layout,L1,12,0.5,0.5,0.5083333333333333,1.0,-0.028345144755812207
linear,layout,L3,12,0.5,0.5,0.5166666666666667,1.0,-0.02984607601162009
linear,blue_side,left,12,0.5,0.5,0.5166666666666667,1.0,-0.02592955307426677
linear,blue_side,right,12,0.5,0.5,0.5083333333333333,1.0,-0.032261667693165526
linear,condition,C0,8,0.5,0.5,0.5375000000000001,1.0,-0.039313920447602874
linear,condition,C1,8,0.5,0.5,0.5,1.0,-0.025099843384491075
linear,condition,C2,8,0.5,0.5,0.5,1.0,-0.022873067319054495
linear,target_color_x_side,blue/left,6,1.0,0.0,1.0,1.0,-0.03493290033235343
linear,target_color_x_side,blue/right,6,0.0,1.0,0.016666666666666666,1.0,-0.024503745147237174
linear,target_color_x_side,red/left,6,1.0,0.0,1.0,1.0,-0.040019590239093863
linear,target_color_x_side,red/right,6,0.0,1.0,0.03333333333333333,1.0,-0.016926205816180113
linear,layout_x_side,L1/left,6,1.0,0.0,1.0,1.0,-0.03479805413934619
linear,layout_x_side,L1/right,6,0.0,1.0,0.016666666666666666,1.0,-0.02189223537227822
linear,layout_x_side,L3/left,6,1.0,0.0,1.0,1.0,-0.040154436432101114
linear,layout_x_side,L3/right,6,0.0,1.0,0.03333333333333333,1.0,-0.019537715591139065
linear,condition_x_side,C0/left,4,1.0,0.0,1.0,1.0,-0.05891999882749385
linear,condition_x_side,C0/right,4,0.0,1.0,0.07500000000000001,1.0,-0.019707842067711884
linear,condition_x_side,C1/left,4,1.0,0.0,1.0,1.0,-0.031563022732734675
linear,condition_x_side,C1/right,4,0.0,1.0,0.0,1.0,-0.018636664036247468
linear,condition_x_side,C2/left,4,1.0,0.0,1.0,1.0,-0.02194571429694241
linear,condition_x_side,C2/right,4,0.0,1.0,0.0,1.0,-0.023800420341166584
linear,condition_x_target_color,C0/blue,4,0.5,0.5,0.525,1.0,-0.04132449969442355
linear,condition_x_target_color,C0/red,4,0.5,0.5,0.55,1.0,-0.03730334120078219
linear,condition_x_target_color,C1/blue,4,0.5,0.5,0.5,1.0,-0.025275251439048182
linear,condition_x_target_color,C1/red,4,0.5,0.5,0.5,1.0,-0.024924435329933964
linear,condition_x_target_color,C2/blue,4,0.5,0.5,0.5,1.0,-0.022555217085914177
linear,condition_x_target_color,C2/red,4,0.5,0.5,0.5,1.0,-0.023190917552194816
exponential,overall,all,24,0.5,0.5,0.5458333333333333,1.0,-0.0321538571670473
exponential,target_color,blue,12,0.5,0.5,0.5499999999999999,1.0,-0.03181397544741859
exponential,target_color,red,12,0.5,0.5,0.5416666666666666,1.0,-0.03249373888667602
exponential,target_side,left,12,1.0,0.0,1.0,1.0,-0.04518386930432697
exponential,target_side,right,12,0.0,1.0,0.09166666666666667,1.0,-0.019123845029767633
exponential,layout,L1,12,0.5,0.5,0.5499999999999999,1.0,-0.030984277938089
exponential,layout,L3,12,0.5,0.5,0.5416666666666666,1.0,-0.03332343639600561
