decision,pair_type,layout_id,condition,fixed_value,first_episode,second_episode,first_prediction,second_prediction,first_score,second_score,both_correct,desired_relation,oriented_score_difference
100pct,same_target_color_side_swap,L1,C2,red,2026_08_18_00_49_36_378126_L1_left_C2,2026_08_18_00_46_25_193744_L1_right_C2,red,red,0.039262416958808895,0.12298564165830612,1,1,0.08372322469949722
100pct,same_target_color_side_swap,L3,C0,blue,2026_08_18_00_57_54_988496_L3_left_C0,2026_08_18_00_52_54_907596_L3_right_C0,red,red,0.2454893745481968,0.08514540046453475,0,1,0.16034397408366205
100pct,same_target_color_side_swap,L3,C1,blue,2026_08_18_00_58_22_709133_L3_left_C1,2026_08_18_00_53_23_339528_L3_right_C1,red,blue,0.17539623230695717,-0.11151437014341353,0,0,0.2869106024503707
100pct,same_target_color_side_swap,L3,C2,blue,2026_08_18_00_59_48_029579_L3_left_C2,2026_08_18_00_53_52_283658_L3_right_C2,red,blue,0.18080097287893293,-0.1229839473962784,0,0,0.3037849202752113
100pct,same_target_color_side_swap,L3,C0,red,2026_08_18_00_54_32_747715_L3_left_C0,2026_08_18_00_56_19_492037_L3_right_C0,red,red,0.10937795192003251,0.2764968641102314,1,1,0.16711891219019887
100pct,same_target_color_side_swap,L3,C1,red,2026_08_18_00_55_01_843645_L3_left_C1,2026_08_18_00_56_48_148319_L3_right_C1,red,red,0.026322444528341295,0.33072714954614635,1,1,0.30440470501780503
100pct,same_target_color_side_swap,L3,C2,red,2026_08_18_00_55_32_860317_L3_left_C2,2026_08_18_00_57_15_980084_L3_right_C2,red,red,0.06047393977642059,0.2963335245847702,1,1,0.2358595848083496
flat,same_geometry_side_color_swap,L1,C0,left,2026_08_18_00_40_18_199635_L1_left_C0,2026_08_18_00_48_13_457980_L1_left_C0,blue,red,-0.000583677366375923,0.022040232270956042,1,1,0.022623909637331966
flat,same_geometry_side_color_swap,L1,C1,left,2026_08_18_00_40_47_448240_L1_left_C1,2026_08_18_00_49_05_482404_L1_left_C1,red,blue,0.008858511969447137,-0.018392990157008172,0,1,-0.02725150212645531
flat,same_geometry_side_color_swap,L1,C2,left,2026_08_18_00_41_27_880068_L1_left_C2,2026_08_18_00_49_36_378126_L1_left_C2,blue,red,-0.010901921242475509,0.00392624169588089,1,1,0.014828162938356398
flat,same_geometry_side_color_swap,L1,C0,right,2026_08_18_00_50_22_202653_L1_right_C0,2026_08_18_00_45_28_073578_L1_right_C0,red,red,0.008645269088447094,0.00964363869279623,0,0,0.0009983696043491357
flat,same_geometry_side_color_swap,L1,C1,right,2026_08_18_00_50_52_802516_L1_right_C1,2026_08_18_00_45_56_961481_L1_right_C1,blue,red,-0.010573890805244445,0.03081222828477621,1,1,0.04138611909002066
