decision,grouping,level,num_trajectories,accuracy,seed_pooled_accuracy,predicted_blue_rate,predicted_right_rate,mean_score_blue_minus_red
flat,condition_x_side,C1/right,4,1.0,1.0,0.5,1.0,0.009995140233594508
flat,condition_x_side,C2/left,4,0.25,0.475,0.25,0.75,0.014596439501778646
flat,condition_x_side,C2/right,4,1.0,1.0,0.5,1.0,-0.00016174562275409615
flat,condition_x_target_color,C0/blue,4,0.75,0.675,0.75,0.75,0.0003502016887068759
flat,condition_x_target_color,C0/red,4,1.0,1.0,0.0,0.5,0.03256498256232589
flat,condition_x_target_color,C1/blue,4,0.5,0.55,0.5,1.0,0.00045566142847140376
flat,condition_x_target_color,C1/red,4,0.75,0.775,0.25,0.75,0.0184350052382797
flat,condition_x_target_color,C2/blue,4,0.5,0.6,0.5,1.0,0.005286313742399216
flat,condition_x_target_color,C2/red,4,0.75,0.875,0.25,0.75,0.009148380136625334
linear,overall,all,24,0.5,0.5458333333333334,0.25,0.6666666666666666,0.015104885346441208
linear,target_color,blue,12,0.25,0.3,0.25,0.75,0.0132301402894109
linear,target_color,red,12,0.75,0.7916666666666666,0.25,0.5833333333333334,0.016979630403471512
linear,target_side,left,12,0.3333333333333333,0.3833333333333333,0.16666666666666666,0.6666666666666666,0.018466037311920463
linear,target_side,right,12,0.6666666666666666,0.7083333333333334,0.3333333333333333,0.6666666666666666,0.011743733380961949
linear,layout,L1,12,0.3333333333333333,0.4416666666666667,0.3333333333333333,0.6666666666666666,0.007261948344526619
linear,layout,L3,12,0.6666666666666666,0.65,0.16666666666666666,0.6666666666666666,0.022947822348355795
linear,blue_side,left,12,0.4166666666666667,0.42500000000000004,0.08333333333333333,0.9166666666666666,0.027160611301378316
linear,blue_side,right,12,0.5833333333333334,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.0030491593915040944
linear,condition,C0,8,0.625,0.6499999999999999,0.125,0.625,0.02164130139992469
linear,condition,C1,8,0.5,0.5375,0.25,0.75,0.01180685936059389
linear,condition,C2,8,0.375,0.44999999999999996,0.375,0.625,0.011866495278805044
linear,target_color_x_side,blue/left,6,0.0,0.016666666666666666,0.0,1.0,0.028647018209827266
linear,target_color_x_side,blue/right,6,0.5,0.5833333333333334,0.5,0.5,-0.00218673763100547
linear,target_color_x_side,red/left,6,0.6666666666666666,0.75,0.3333333333333333,0.3333333333333333,0.008285056414013661
linear,target_color_x_side,red/right,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.025674204392929365
linear,layout_x_side,L1/left,6,0.16666666666666666,0.26666666666666666,0.3333333333333333,0.8333333333333334,0.006797178458447509
linear,layout_x_side,L1/right,6,0.5,0.6166666666666667,0.3333333333333333,0.5,0.007726718230605727
linear,layout_x_side,L3/left,6,0.5,0.5,0.0,0.5,0.03013489616539342
linear,layout_x_side,L3/right,6,0.8333333333333334,0.7999999999999999,0.3333333333333333,0.8333333333333334,0.01576074853131817
linear,layout_x_blue_side,L1/left,6,0.3333333333333333,0.3666666666666667,0.16666666666666666,0.8333333333333334,0.01209727992150017
linear,layout_x_blue_side,L1/right,6,0.3333333333333333,0.5166666666666667,0.5,0.5,0.0024266167675530666
linear,layout_x_blue_side,L3/left,6,0.5,0.48333333333333334,0.0,1.0,0.04222394268125646
linear,layout_x_blue_side,L3/right,6,0.8333333333333334,0.8166666666666668,0.3333333333333333,0.3333333333333333,0.003671702015455124
linear,condition_x_side,C0/left,4,0.5,0.525,0.0,0.5,0.018594856534360184
linear,condition_x_side,C0/right,4,0.75,0.775,0.25,0.75,0.02468774626548919
linear,condition_x_side,C1/left,4,0.25,0.25,0.25,0.75,0.014556232750829724
linear,condition_x_side,C1/right,4,0.75,0.825,0.25,0.75,0.009057485970358055
linear,condition_x_side,C2/left,4,0.25,0.375,0.25,0.75,0.022247022650571484
linear,condition_x_side,C2/right,4,0.5,0.525,0.5,0.5,0.0014859679070386026
linear,condition_x_target_color,C0/blue,4,0.25,0.30000000000000004,0.25,0.75,0.011519605873359574
linear,condition_x_target_color,C0/red,4,1.0,1.0,0.0,0.5,0.0317629969264898
linear,condition_x_target_color,C1/blue,4,0.25,0.375,0.25,0.75,0.010844932299935153
linear,condition_x_target_color,C1/red,4,0.75,0.7,0.25,0.75,0.012768786421252624
linear,condition_x_target_color,C2/blue,4,0.25,0.225,0.25,0.75,0.01732588269493797
linear,condition_x_target_color,C2/red,4,0.5,0.675,0.5,0.5,0.00640710786267212
exponential,overall,all,24,0.4166666666666667,0.45416666666666666,0.16666666666666666,0.5,0.018041328616735203
exponential,target_color,blue,12,0.08333333333333333,0.10833333333333335,0.08333333333333333,0.5833333333333334,0.01975231109666707
exponential,target_color,red,12,0.75,0.8000000000000002,0.25,0.4166666666666667,0.016330346136803335
exponential,target_side,left,12,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.5833333333333334,0.02221535375539829
exponential,target_side,right,12,0.4166666666666667,0.49166666666666664,0.25,0.4166666666666667,0.013867303478072114
exponential,layout,L1,12,0.25,0.3333333333333333,0.25,0.4166666666666667,0.01024496797477742
exponential,layout,L3,12,0.5833333333333334,0.575,0.08333333333333333,0.5833333333333334,0.025837689258692984
exponential,blue_side,left,12,0.3333333333333333,0.3833333333333333,0.16666666666666666,0.8333333333333334,0.025723166054015135
exponential,blue_side,right,12,0.5,0.525,0.16666666666666666,0.16666666666666666,0.01035949117945527
exponential,condition,C0,8,0.625,0.6,0.125,0.625,0.025049646618682746
exponential,condition,C1,8,0.25,0.38749999999999996,0.25,0.5,0.012875119371564374
exponential,condition,C2,8,0.375,0.375,0.125,0.375,0.016199219859958487
exponential,target_color_x_side,blue/left,6,0.0,0.0,0.0,1.0,0.03160817367261009
exponential,target_color_x_side,blue/right,6,0.16666666666666666,0.21666666666666667,0.16666666666666666,0.16666666666666666,0.007896448520724048
exponential,target_color_x_side,red/left,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.012822533838186495
exponential,target_color_x_side,red/right,6,0.6666666666666666,0.7666666666666666,0.3333333333333333,0.6666666666666666,0.01983815843542018
exponential,layout_x_side,L1/left,6,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.010183225897790695
exponential,layout_x_side,L1/right,6,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.010306710051764143
exponential,layout_x_side,L3/left,6,0.5,0.5,0.0,0.5,0.034247481613005885
exponential,layout_x_side,L3/right,6,0.6666666666666666,0.65,0.16666666666666666,0.6666666666666666,0.017427896904380086
exponential,layout_x_blue_side,L1/left,6,0.16666666666666666,0.3,0.3333333333333333,0.6666666666666666,0.012152404009063021
exponential,layout_x_blue_side,L1/right,6,0.3333333333333333,0.3666666666666667,0.16666666666666666,0.16666666666666666,0.008337531940491817
exponential,layout_x_blue_side,L3/left,6,0.5,0.4666666666666666,0.0,1.0,0.03929392809896725
