episode_id,layout_id,condition,alpha_normalized,alpha_m,target_color,target_side,blue_block_side,red_block_side,instruction,chunk_index,start,stop,executed_steps,progress,num_seeds,energy_blue_mean,energy_red_mean,local_margin_blue_minus_red_mean,local_margin_seed_sd,red_support_rate,mean_sign_seed_agreement,true_target_seed_support_rate,cartesian_x,cartesian_y,cartesian_z,flat_cumulative_margin,flat_cumulative_score,linear_cumulative_score,exponential_cumulative_score
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,4.0,0.3389097514813868,blue,right,right,left,pick up the blue block,6,96,112,16,0.7044025157232704,10,0.27074062526226045,0.2911645919084549,-0.020423966646194457,0.0031533841701720236,0.0,1.0,1.0,0.5849971175193787,-0.14623911678791046,0.2667476534843445,-0.01058129519224166,-0.0015116135988916656,0.006574205841336931,0.019687529673571215
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,4.0,0.3389097514813868,blue,right,right,left,pick up the blue block,7,112,128,16,0.8050314465408805,10,0.2859276205301285,0.31445897817611695,-0.028531357645988464,0.005916466409337142,0.0,1.0,1.0,0.6234413385391235,-0.10154188424348831,0.2301008254289627,-0.03911265283823012,-0.004889081604778765,0.0045488848709143125,0.018004450200596503
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,4.0,0.3389097514813868,blue,right,right,left,pick up the blue block,8,128,144,16,0.9056603773584906,10,0.29340136498212815,0.3326343297958374,-0.03923296481370926,0.005402816902602444,0.0,1.0,1.0,0.6599169373512268,-0.053404904901981354,0.19558268785476685,-0.07834561765193938,-0.008705068627993265,0.002927334882594921,0.016561697980122927
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,4.0,0.3389097514813868,blue,right,right,left,pick up the blue block,9,144,159,15,1.0,10,0.3091449484229088,0.32033684849739075,-0.011191900074481963,0.002043035822074273,0.0,1.0,1.0,0.666696310043335,-0.0466642752289772,0.18934473395347595,-0.08953751772642135,-0.008953751772642135,0.002670621519738978,0.0160529441127098
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,0.0,0.0,red,left,right,left,pick up the red block,0,0,16,16,0.13333333333333333,10,0.3696161448955536,0.29633982479572296,0.07327632009983062,0.01554071147639396,1.0,1.0,1.0,0.3826976716518402,-0.0033571694511920214,0.4674624800682068,0.07327632009983062,0.07327632009983062,0.07327632009983062,0.07327632009983062
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,0.0,0.0,red,left,right,left,pick up the red block,1,16,32,16,0.26666666666666666,10,0.27625707238912584,0.28279687464237213,-0.0065398022532463075,0.010448346332279411,0.2,0.8,0.2,0.4272044003009796,0.002440511714667082,0.41521525382995605,0.06673651784658431,0.033368258923292156,0.03602879633506139,0.04076454760326982
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,0.0,0.0,red,left,right,left,pick up the red block,2,32,48,16,0.4,10,0.2406049057841301,0.2920231491327286,-0.05141824334859848,0.013721448420742757,0.0,1.0,0.0,0.47765612602233887,0.00974524300545454,0.36786404252052307,0.015318274497985833,0.005106091499328611,0.011043927854015714,0.020602044602460224
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,0.0,0.0,red,left,right,left,pick up the red block,3,48,64,16,0.5333333333333333,10,0.23570300340652467,0.2978966757655144,-0.06219367235898972,0.018872664817219147,0.0,1.0,0.0,0.5285304188728333,0.016654228791594505,0.32051193714141846,-0.046875397861003885,-0.011718849465250971,-0.003040226033100715,0.009782198365886174
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,0.0,0.0,red,left,right,left,pick up the red block,4,64,80,16,0.6666666666666666,10,0.21488941907882692,0.19529895186424256,0.01959046721458435,0.015520674642430144,0.9,0.9,0.9,0.5793185234069824,0.024500800296664238,0.27272605895996094,-0.027284930646419535,-0.005456986129283907,-2.2800266742706297e-05,0.01059053459664426
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,0.0,0.0,red,left,right,left,pick up the red block,5,80,96,16,0.8,10,0.24979195296764373,0.18707399666309357,0.06271795630455017,0.009342874886259131,1.0,1.0,1.0,0.6296406984329224,0.03180771693587303,0.22454507648944855,0.03543302565813063,0.005905504276355105,0.0056809048761021,0.013384863944369945
